iter	Passed	Remaining
0	130	64912
1	164	40962
2	223	36959
3	240	29768
4	254	25162
5	265	21863
6	279	19704
7	294	18088
8	307	16802
9	330	16170
10	359	16003
11	363	14767
12	377	14129
13	391	13588
14	408	13192
15	428	12972
16	456	12977
17	478	12801
18	492	12467
19	506	12149
20	521	11891
21	535	11645
22	549	11404
23	560	11112
24	587	11157
25	600	10956
26	615	10774
27	629	10610
28	644	10463
29	658	10323
30	670	10144
31	685	10025
32	700	9916
33	757	10387
34	770	10234
35	804	10367
36	813	10184
37	828	10067
38	842	9956
39	856	9853
40	874	9786
41	892	9736
42	910	9676
43	931	9648
44	957	9678
45	977	9646
46	997	9615
47	1030	9705
48	1050	9670
49	1072	9648
50	1088	9582
51	1104	9512
52	1129	9523
53	1188	9817
54	1215	9830
55	1234	9789
56	1249	9711
57	1265	9640
58	1282	9582
59	1301	9543
60	1332	9590
61	1352	9556
62	1380	9579
63	1399	9531
64	1416	9481
65	1434	9429
66	1458	9427
67	1480	9403
68	1495	9343
69	1515	9310
70	1539	9302
71	1570	9336
72	1590	9302
73	1618	9316
74	1650	9354
75	1669	9316
76	1694	9309
77	1716	9286
78	1735	9249
79	1755	9216
80	1781	9214
81	1810	9228
82	1819	9141
83	1839	9107
84	1864	9101
85	1884	9071
86	1909	9065
87	1930	9035
88	1949	9001
89	1968	8966
90	1990	8948
91	2010	8915
92	2030	8884
93	2050	8854
94	2076	8854
95	2096	8822
96	2157	8963
97	2188	8979
98	2209	8948
99	2228	8913
100	2246	8876
101	2273	8869
102	2293	8839
103	2309	8794
104	2326	8753
105	2352	8742
106	2371	8710
107	2390	8677
108	2412	8655
109	2433	8626
110	2458	8616
111	2494	8640
112	2525	8650
113	2584	8750
114	2624	8786
115	2644	8755
116	2675	8758
117	2689	8708
118	2705	8661
119	2722	8621
120	2744	8594
121	2765	8567
122	2816	8633
123	2845	8626
124	2866	8599
125	2891	8583
126	2912	8554
127	2931	8519
128	2948	8479
129	2966	8442
130	2982	8401
131	3000	8363
132	3024	8345
133	3043	8314
134	3073	8309
135	3088	8266
136	3141	8325
137	3162	8295
138	3189	8283
139	3211	8258
140	3231	8227
141	3252	8200
142	3272	8169
143	3296	8148
144	3312	8109
145	3327	8069
146	3344	8031
147	3370	8015
148	3389	7984
149	3408	7952
150	3428	7923
151	3451	7902
152	3472	7875
153	3497	7857
154	3518	7831
155	3538	7802
156	3556	7770
157	3585	7760
158	3604	7729
159	3624	7702
160	3645	7675
161	3670	7657
162	3689	7628
163	3709	7600
164	3734	7582
165	3755	7555
166	3774	7527
167	3805	7519
168	3858	7558
169	3879	7530
170	3899	7502
171	3915	7466
172	3933	7434
173	3948	7398
174	3964	7362
175	3979	7325
176	3997	7294
177	4016	7266
178	4038	7242
179	4070	7236
180	4100	7227
181	4136	7227
182	4196	7268
183	4227	7259
184	4264	7261
185	4280	7226
186	4334	7254
187	4360	7235
188	4384	7214
189	4409	7195
190	4461	7217
191	4498	7216
192	4530	7207
193	4554	7184
194	4579	7162
195	4612	7154
196	4640	7136
197	4660	7108
198	4682	7082
199	4741	7112
200	4767	7092
201	4793	7071
202	4845	7089
203	4871	7068
204	4893	7041
205	4913	7012
206	4933	6983
207	4957	6959
208	4990	6948
209	5012	6921
210	5039	6901
211	5062	6877
212	5086	6854
213	5107	6826
214	5127	6797
215	5184	6816
216	5212	6797
217	5250	6792
218	5293	6792
219	5332	6786
220	5361	6768
221	5390	6749
222	5406	6716
223	5423	6683
224	5444	6654
225	5465	6626
226	5487	6599
227	5512	6576
228	5532	6547
229	5552	6518
230	5576	6493
231	5597	6465
232	5617	6437
233	5667	6442
234	5692	6419
235	5712	6390
236	5736	6366
237	5768	6350
238	5791	6324
239	5810	6295
240	5843	6280
241	5861	6249
242	5878	6217
243	5898	6188
244	5920	6161
245	5943	6136
246	5973	6118
247	5996	6092
248	6017	6065
249	6041	6041
250	6063	6015
251	6087	5991
252	6108	5963
253	6128	5935
254	6145	5904
255	6192	5901
256	6220	5881
257	6244	5856
258	6248	5814
259	6278	5795
260	6303	5771
261	6327	5747
262	6356	5728
263	6376	5699
264	6395	5671
265	6413	5641
266	6437	5617
267	6461	5593
268	6486	5569
269	6504	5540
270	6521	5510
271	6537	5479
272	6554	5450
273	6573	5421
274	6600	5400
275	6621	5374
276	6651	5354
277	6699	5349
278	6722	5325
279	6743	5298
280	6769	5275
281	6791	5250
282	6816	5226
283	6833	5197
284	6861	5176
285	6888	5154
286	6910	5128
287	6938	5107
288	6962	5083
289	6993	5064
290	7034	5052
291	7053	5024
292	7077	4999
293	7095	4972
294	7128	4953
295	7151	4928
296	7181	4908
297	7200	4880
298	7230	4860
299	7258	4839
300	7279	4812
301	7328	4804
302	7363	4787
303	7389	4764
304	7427	4748
305	7447	4721
306	7474	4699
307	7488	4668
308	7510	4642
309	7545	4624
310	7578	4605
311	7609	4585
312	7622	4553
313	7643	4527
314	7666	4502
315	7691	4478
316	7708	4450
317	7731	4424
318	7749	4397
319	7768	4369
320	7799	4349
321	7832	4329
322	7860	4307
323	7932	4309
324	7957	4284
325	7982	4260
326	8012	4239
327	8031	4211
328	8052	4185
329	8070	4157
330	8095	4133
331	8118	4107
332	8146	4085
333	8173	4062
334	8212	4044
335	8234	4019
336	8254	3992
337	8285	3971
338	8314	3949
339	8334	3922
340	8362	3899
341	8394	3878
342	8415	3852
343	8449	3831
344	8474	3807
345	8481	3775
346	8499	3747
347	8537	3728
348	8562	3704
349	8581	3677
350	8606	3653
351	8630	3628
352	8649	3602
353	8675	3577
354	8692	3550
355	8721	3527
356	8745	3503
357	8763	3475
358	8791	3452
359	8815	3428
360	8840	3404
361	8858	3377
362	8881	3352
363	8907	3328
364	8930	3303
365	8981	3288
366	9011	3265
367	9053	3247
368	9076	3222
369	9118	3203
370	9141	3178
371	9176	3157
372	9204	3133
373	9235	3111
374	9258	3086
375	9320	3073
376	9369	3056
377	9407	3036
378	9420	3007
379	9443	2982
380	9468	2957
381	9492	2932
382	9523	2909
383	9552	2885
384	9583	2862
385	9607	2837
386	9635	2813
387	9672	2792
388	9700	2767
389	9732	2745
390	9763	2721
391	9804	2701
392	9836	2678
393	9869	2655
394	9905	2633
395	9944	2611
396	9968	2586
397	10003	2563
398	10104	2557
399	10123	2530
400	10141	2503
401	10159	2476
402	10179	2450
403	10197	2423
404	10217	2396
405	10237	2370
406	10255	2343
407	10273	2316
408	10290	2289
409	10310	2263
410	10329	2236
411	10386	2218
412	10412	2193
413	10444	2169
414	10469	2144
415	10487	2117
416	10504	2090
417	10518	2063
418	10535	2036
419	10546	2008
420	10561	1981
421	10583	1956
422	10604	1930
423	10619	1903
424	10636	1877
425	10658	1851
426	10675	1825
427	10701	1800
428	10722	1774
429	10736	1747
430	10753	1721
431	10767	1694
432	10784	1668
433	10799	1642
434	10814	1615
435	10829	1589
436	10848	1563
437	10863	1537
438	10881	1511
439	10897	1485
440	10919	1460
441	10935	1435
442	10951	1409
443	10969	1383
444	10985	1357
445	11000	1331
446	11016	1306
447	11037	1281
448	11053	1255
449	11081	1231
450	11110	1207
451	11133	1182
452	11168	1158
453	11196	1134
454	11224	1110
455	11251	1085
456	11267	1060
457	11289	1035
458	11306	1009
459	11324	984
460	11339	959
461	11363	934
462	11394	910
463	11427	886
464	11444	861
465	11465	836
466	11482	811
467	11501	786
468	11520	761
469	11536	736
470	11553	711
471	11570	686
472	11591	661
473	11612	636
474	11629	612
475	11659	587
476	11680	563
477	11700	538
478	11717	513
479	11732	488
480	11745	463
481	11762	439
482	11776	414
483	11796	389
484	11809	365
485	11822	340
486	11844	316
487	11860	291
488	11876	267
489	11898	242
490	11921	218
491	11944	194
492	11967	169
493	11990	145
494	12004	121
495	12046	97
496	12066	72
497	12092	48
498	12111	24
499	12128	0
