iter	MultiClass
0	2.475671356
10	1.830028346
20	1.520914386
30	1.325759285
40	1.176509609
50	1.05017809
60	0.9448810926
70	0.8585519813
80	0.785669293
90	0.7294388271
100	0.6758624704
110	0.6273611588
120	0.5841418144
130	0.5432648497
140	0.5089211914
150	0.4807988068
160	0.4521343196
170	0.4292842517
180	0.4063173011
190	0.3866748464
200	0.3673733312
210	0.34815685
220	0.3303738324
230	0.3155864119
240	0.3004133502
250	0.2875166238
260	0.2763404378
270	0.2644320534
280	0.2543100207
290	0.2437828485
300	0.2349253575
310	0.2262254937
320	0.2182774833
330	0.2108296824
340	0.2037622171
350	0.1975495464
360	0.1919334762
370	0.1853903667
380	0.1800869898
390	0.175262566
400	0.1703691223
410	0.1656205644
420	0.1611420325
430	0.1563859484
440	0.152579263
450	0.1480244727
460	0.1441530097
470	0.1400528581
480	0.1370200885
490	0.1334328026
499	0.1310606091
