iter	Passed	Remaining
0	41	20928
1	83	20913
2	134	22270
3	233	29000
4	288	28581
5	340	28026
6	380	26788
7	438	26987
8	474	25891
9	498	24424
10	534	23746
11	560	22778
12	608	22794
13	635	22050
14	678	21928
15	701	21210
16	717	20384
17	733	19632
18	750	18994
19	768	18435
20	787	17965
21	804	17483
22	822	17066
23	831	16488
24	850	16155
25	874	15939
26	893	15654
27	913	15400
28	931	15122
29	954	14953
30	980	14836
31	1003	14678
32	1023	14480
33	1040	14257
34	1056	14034
35	1072	13819
36	1080	13514
37	1096	13335
38	1114	13171
39	1130	13004
40	1148	12854
41	1163	12688
42	1180	12542
43	1200	12445
44	1216	12304
45	1232	12159
46	1247	12022
47	1262	11889
48	1278	11765
49	1296	11671
50	1314	11574
51	1332	11480
52	1348	11376
53	1363	11265
54	1377	11148
55	1392	11041
56	1408	10947
57	1422	10841
58	1433	10711
59	1450	10638
60	1482	10668
61	1502	10613
62	1521	10552
63	1536	10464
64	1551	10381
65	1564	10290
66	1584	10237
67	1600	10169
68	1622	10131
69	1637	10060
70	1656	10007
71	1685	10016
72	1705	9975
73	1735	9988
74	1760	9975
75	1781	9937
76	1799	9883
77	1816	9825
78	1834	9778
79	1860	9767
80	1880	9729
81	1897	9671
82	1906	9580
83	1945	9635
84	1962	9582
85	1980	9534
86	1995	9473
87	2009	9409
88	2024	9348
89	2039	9289
90	2054	9234
91	2069	9178
92	2087	9133
93	2104	9090
94	2121	9042
95	2136	8992
96	2152	8942
97	2168	8893
98	2184	8849
99	2203	8815
100	2225	8790
101	2246	8766
102	2275	8770
103	2296	8744
104	2320	8729
105	2367	8801
106	2429	8922
107	2487	9028
108	2504	8984
109	2521	8938
110	2537	8891
111	2555	8852
112	2569	8798
113	2584	8752
114	2598	8698
115	2615	8656
116	2638	8637
117	2655	8595
118	2670	8549
119	2687	8509
120	2701	8462
121	2714	8409
122	2726	8355
123	2739	8307
124	2752	8257
125	2765	8208
126	2780	8165
127	2796	8127
128	2812	8089
129	2830	8056
130	2843	8010
131	2863	7984
132	2877	7939
133	2890	7894
134	2901	7844
135	2914	7800
136	2927	7756
137	2940	7713
138	2952	7668
139	2965	7624
140	2979	7585
141	2995	7551
142	3012	7521
143	3028	7487
144	3046	7458
145	3062	7425
146	3078	7392
147	3093	7358
148	3109	7325
149	3125	7292
