iter	MultiClass	Accuracy
0	1.638410895	0.8921763001
1	1.383075212	0.8956585837
2	1.20033318	0.8995729754
3	1.06124954	0.9005897006
4	0.9507335824	0.9044786742
5	0.849529333	0.910197753
6	0.7701580772	0.9131970922
7	0.7087414638	0.9150526155
8	0.6464770653	0.9153830512
9	0.5944581097	0.926058665
10	0.5532393423	0.9258044838
11	0.5141579015	0.9296934574
12	0.4783751408	0.932006507
13	0.4488008151	0.9348279193
14	0.4228613063	0.9362259163
15	0.395642057	0.9363784251
16	0.3753281434	0.9387931473
17	0.3564083869	0.9395556911
18	0.3367833177	0.9429617203
19	0.318653802	0.9457831325
20	0.3036470595	0.9461898226
21	0.288077164	0.9487824717
22	0.2761018543	0.9502567231
23	0.2606861738	0.9519089014
24	0.2471666102	0.9525443546
25	0.2355604608	0.9557724569
26	0.2237137701	0.9574246352
27	0.213168892	0.9583142697
28	0.2044462536	0.9602714656
29	0.1975676522	0.9613644451
30	0.1900764235	0.9619744802
31	0.1823679509	0.9626353515
32	0.1752238594	0.9632199685
33	0.1688207845	0.9644908749
34	0.1648517468	0.9658888719
35	0.1601752176	0.966498907
36	0.1553352994	0.9675410503
37	0.150778736	0.9698540999
38	0.1454873654	0.9693711555
39	0.140841127	0.9711504245
40	0.1375306333	0.9739972548
41	0.1338194304	0.974632708
42	0.1308932416	0.9755731788
43	0.1279306267	0.9759036145
44	0.1251657214	0.9765136495
45	0.121691725	0.977199939
46	0.1194610368	0.9775049565
47	0.116803026	0.9776320472
48	0.1144132184	0.9779624828
49	0.1117891951	0.978394591
50	0.1086589523	0.9790300442
51	0.106592429	0.9793096436
52	0.1047050297	0.9793096436
53	0.1025440589	0.9794367343
54	0.1000214245	0.9795638249
55	0.09844350964	0.9797163337
56	0.09637773262	0.9803009506
57	0.09509219523	0.9805551319
58	0.09365082685	0.9806568044
59	0.09242962741	0.9808347313
60	0.09064632092	0.9810634945
61	0.08912575365	0.9812668395
62	0.08778989913	0.9821310559
63	0.08683776852	0.9824614915
64	0.08557544313	0.9824869097
65	0.08374415608	0.9826394184
66	0.08253955621	0.9834527985
67	0.08187024401	0.9834782167
68	0.08072055356	0.9836053073
69	0.08008966676	0.9838340705
70	0.07914726443	0.9839865792
71	0.07819789534	0.9841136699
72	0.07716132312	0.9842407605
73	0.07612687068	0.9843932693
74	0.07503002445	0.9846220324
75	0.07393057038	0.9848507956
76	0.07313832246	0.9849778862
77	0.07192619571	0.9852829038
78	0.07049488672	0.9858675207
79	0.06979277192	0.9858929388
80	0.06923285258	0.9859946114
81	0.06817520452	0.9866046464
82	0.06751941368	0.9868334096
83	0.06689537775	0.9869605002
84	0.06614211585	0.986909664
85	0.06558757232	0.9870367546
86	0.06456970201	0.987113009
87	0.06418305214	0.9870875909
88	0.06376040267	0.9873671903
89	0.06334232983	0.9873926084
90	0.06282811043	0.9876213716
91	0.06230109442	0.9876722078
92	0.06151105122	0.9877230441
93	0.06077461285	0.988104316
94	0.05986082904	0.9883584973
95	0.0592736009	0.9885872604
96	0.05856665597	0.9888160236
97	0.05780442747	0.9889685324
98	0.0573137066	0.9890447867
99	0.05674569255	0.9892227136
100	0.0564340507	0.9892227136
101	0.05576639458	0.989298968
102	0.05505322024	0.9894768949
103	0.05437332344	0.9896294037
104	0.05418475888	0.9896548218
105	0.05365125293	0.9896802399
106	0.05339537172	0.9897310762
107	0.05303469272	0.9897564943
108	0.05253196416	0.9897819125
109	0.05222591679	0.9898581668
110	0.05189528621	0.9899090031
111	0.05136722515	0.9899852575
112	0.05098964819	0.99008693
113	0.05071361576	0.9900615119
114	0.05033241717	0.9901631844
115	0.04991413202	0.9904173657
116	0.04955965494	0.9902648569
117	0.04923143726	0.99049362
118	0.04890358019	0.99049362
119	0.04861251976	0.99049362
120	0.0484407974	0.99049362
121	0.04817166221	0.9906207107
122	0.0478682226	0.9906207107
123	0.04753384707	0.9906461288
124	0.04721521656	0.9907986376
125	0.04697376803	0.9909003101
126	0.04673328245	0.9909511464
127	0.04652641697	0.9909511464
128	0.04626285338	0.9910528189
129	0.04609127399	0.9910274007
130	0.04561550383	0.9911799095
131	0.04511273724	0.9912053276
132	0.04490558426	0.991281582
133	0.04460251364	0.9913578364
134	0.04429167477	0.9913832545
135	0.04366662389	0.9915611814
136	0.04345937683	0.9915611814
137	0.04335906618	0.9915865996
138	0.04296012658	0.9916628539
139	0.04271329227	0.9916628539
140	0.04231627843	0.9917645265
141	0.04193375434	0.9918153627
142	0.0415702021	0.9918916171
143	0.04144807388	0.9918916171
144	0.0412591159	0.9919170352
145	0.04102737387	0.9919932896
146	0.04082583506	0.9919678715
147	0.04056951049	0.992069544
148	0.04033895997	0.9921203803
149	0.040209956	0.9921203803
150	0.03966092264	0.9923237253
151	0.03949246014	0.9923745615
152	0.03929584169	0.9924253978
153	0.03919579906	0.9924253978
154	0.03905323795	0.9923999797
155	0.03890409621	0.9923745615
156	0.0386024592	0.9925016522
157	0.0384302508	0.9925270703
158	0.03824136564	0.9925270703
159	0.03794987701	0.9927049972
160	0.03784682057	0.9926287428
161	0.03757685638	0.9926795791
162	0.03729266929	0.9927304153
163	0.03710557975	0.9927558335
164	0.03694881667	0.9928320878
165	0.036861493	0.9927812516
166	0.03676862916	0.9927558335
167	0.03649219702	0.9928066697
168	0.03635735099	0.9927558335
169	0.03614299781	0.9928066697
170	0.03607438002	0.9928320878
171	0.03582757626	0.992857506
172	0.03525011134	0.993060851
173	0.03507399483	0.9931625235
174	0.03494050666	0.9931879416
175	0.03469899728	0.9932896142
176	0.03455243937	0.9933150323
177	0.03438736156	0.9933912867
178	0.03427783653	0.9933912867
179	0.03409450301	0.9933912867
180	0.03391966223	0.9933912867
181	0.03374284613	0.9934167048
182	0.0335399765	0.9934421229
183	0.03328857544	0.9934421229
184	0.03319191846	0.9934167048
185	0.03297774178	0.9934167048
186	0.03282621388	0.9934421229
187	0.03275018444	0.9934421229
188	0.03260532045	0.9934421229
189	0.03240496867	0.9934929592
190	0.03233620625	0.9935437954
191	0.03223636297	0.9935437954
192	0.03218509688	0.9935437954
193	0.03203826452	0.9935183773
194	0.03185769971	0.9935946317
195	0.03176765499	0.9935692136
196	0.03162986604	0.9936454679
197	0.03154427116	0.9937217223
198	0.03149114389	0.9937725586
199	0.03132752813	0.9937471405
200	0.03114209872	0.9938233948
201	0.03094910756	0.9937979767
202	0.03081820613	0.9938233948
203	0.03066386161	0.9938233948
204	0.03058689462	0.9938996492
205	0.03048374588	0.9939250674
206	0.0302995515	0.9938996492
207	0.03014182702	0.9940267399
208	0.03003822685	0.994052158
209	0.02997822877	0.9941029943
210	0.02977001109	0.9940775761
211	0.02970397143	0.9941284124
212	0.02963810725	0.9941538305
213	0.02954659004	0.9941284124
214	0.02944586503	0.9942300849
215	0.02936324204	0.9942046668
216	0.02924751574	0.9942046668
217	0.02913746128	0.9941792486
218	0.02892558434	0.994255503
219	0.02888012371	0.9943317574
220	0.02883575488	0.9943317574
221	0.02873177494	0.9942809212
222	0.02860812464	0.9943317574
223	0.0285032513	0.9943825937
224	0.02841541674	0.9943571755
225	0.02838093054	0.9943571755
226	0.02829282127	0.9943825937
227	0.02806377685	0.9943825937
228	0.02793301201	0.9944588481
229	0.0278323269	0.9944842662
230	0.02774439296	0.9944588481
231	0.02756180858	0.9945096843
232	0.02751142083	0.9945351024
